company,sector,country,region,year,total_postings,ai_postings,avg_ai_score,avg_posted_salary,ai_adoption_rate
11948.0,Finance,United States,MD,2023,1,0,0.0,,0.0
120393.0,Finance,United States,Unknown,2023,1,0,0.0,142500.0,0.0
1215629.0,Finance,United States,CT,2023,1,0,0.0,117750.0,0.0
1215629.0,Finance,United States,Unknown,2023,1,0,0.0,350000.0,0.0
122451.0,Finance,United States,TX,2023,1,0,0.0,,0.0
122451.0,Finance,United States,WA,2023,1,0,0.0,,0.0
12957244.0,Finance,United States,FL,2023,1,0,0.0,97500.0,0.0
132319.0,Finance,United States,Unknown,2023,1,0,0.0,72.5,0.0
13333.0,Finance,United States,TX,2023,1,0,0.0,47500.0,0.0
135441.0,Finance,United States,MA,2023,1,0,0.0,40.0,0.0
14133.0,Finance,United States,PA,2023,1,0,0.0,,0.0
15228.0,Finance,United States,MA,2023,1,0,0.0,53000.0,0.0
1552084.0,Finance,United States,CA,2023,1,0,0.0,162500.0,0.0
1552084.0,Finance,United States,TX,2023,1,0,0.0,97500.0,0.0
163828.0,Finance,United States,GA,2023,1,0,0.0,,0.0
166572.0,Finance,United States,FL,2023,2,0,0.0,,0.0
16874.0,Finance,United States,Unknown,2023,1,0,0.0,45000.0,0.0
18744530.0,Finance,United States,CA,2023,1,0,0.0,27.5,0.0
18754113.0,Finance,United States,AZ,2023,1,0,0.0,,0.0
18954903.0,Finance,United States,AZ,2023,1,0,0.0,,0.0
20009.0,Finance,United States,AZ,2023,1,0,0.0,,0.0
20508964.0,Finance,United States,NJ,2023,1,0,0.0,,0.0
21784.0,Finance,United States,CA,2023,1,0,0.0,,0.0
2203697.0,Finance,United States,NC,2023,1,0,0.0,,0.0
22456.0,Finance,United States,MA,2023,1,0,0.0,,0.0
2254994.0,Finance,United States,Unknown,2023,1,0,0.0,122500.0,0.0
2401255.0,Finance,United States,CO,2023,1,0,0.0,132500.0,0.0
2401260.0,Finance,United States,CT,2023,1,0,0.0,97500.0,0.0
2519.0,Finance,United States,CA,2023,1,0,0.0,170000.0,0.0
2555454.0,Finance,United States,AL,2023,1,0,0.0,,0.0
2555454.0,Finance,United States,AZ,2023,1,0,0.0,,0.0
2555454.0,Finance,United States,SC,2023,1,0,0.0,,0.0
2564997.0,Finance,United States,GA,2023,1,0,0.0,,0.0
27758.0,Finance,United States,CA,2023,1,0,0.0,62.0,0.0
28142959.0,Finance,United States,Unknown,2023,1,0,0.0,,0.0
2912258.0,Finance,United States,OR,2023,1,0,0.0,,0.0
29308.0,Finance,United States,TX,2023,1,0,0.0,160000.0,0.0
294125.0,Finance,United States,TX,2023,1,0,0.0,,0.0
30080081.0,Finance,United States,FL,2023,1,0,0.0,,0.0
33248183.0,Finance,United States,Unknown,2023,1,0,0.0,,0.0
3476.0,Finance,United States,NJ,2023,1,0,0.0,,0.0
3671.0,Finance,United States,TN,2023,1,0,0.0,,0.0
367977.0,Finance,United States,OH,2023,1,0,0.0,,0.0
373568.0,Finance,United States,CA,2023,1,0,0.0,145000.0,0.0
3807582.0,Finance,United States,UT,2023,1,0,0.0,,0.0
3866043.0,Finance,United States,WI,2023,1,0,0.0,,0.0
41004.0,Finance,United States,NC,2023,1,0,0.0,,0.0
4787.0,Finance,United States,AR,2023,1,0,0.0,19.0,0.0
4859145.0,Finance,United States,CA,2023,1,0,0.0,60000.0,0.0
4872007.0,Finance,United States,Unknown,2023,2,0,0.0,223750.0,0.0
49648345.0,Finance,United States,MI,2023,1,0,0.0,74037.5,0.0
497515.0,Finance,United States,MI,2023,1,0,0.0,,0.0
506275.0,Finance,United States,IL,2023,1,0,0.0,,0.0
54119169.0,Finance,United States,Unknown,2023,1,0,0.0,,0.0
54819446.0,Finance,United States,AL,2023,1,0,0.0,,0.0
57367.0,Finance,United States,TN,2023,1,0,0.0,,0.0
602101.0,Finance,United States,TX,2023,1,0,0.0,225000.0,0.0
61677.0,Finance,United States,TX,2023,1,0,0.0,31.5,0.0
622196.0,Finance,United States,OK,2023,1,0,0.0,,0.0
6560564.0,Finance,United States,MI,2023,1,0,0.0,,0.0
6575960.0,Finance,United States,CA,2023,1,0,0.0,65000.0,0.0
6648075.0,Finance,United States,IL,2023,1,0,0.0,190000.0,0.0
69247325.0,Finance,United States,Unknown,2023,1,0,0.0,,0.0
72305521.0,Finance,United States,Unknown,2023,1,0,0.0,,0.0
74702276.0,Finance,United States,Unknown,2023,3,0,0.0,150000.0,0.0
7587370.0,Finance,United States,LA,2023,2,0,0.0,,0.0
76815121.0,Finance,United States,NJ,2023,1,0,0.0,16.0,0.0
777243.0,Finance,United States,FL,2023,2,0,0.0,47521.0,0.0
777243.0,Finance,United States,IL,2023,1,0,0.0,60000.0,0.0
78782196.0,Finance,United States,NV,2023,1,0,0.0,47840.0,0.0
7971352.0,Finance,United States,NY,2023,1,0,0.0,,0.0
80076104.0,Finance,United States,MA,2023,1,0,0.0,,0.0
80488468.0,Finance,United States,IL,2023,1,0,0.0,85000.0,0.0
80959057.0,Finance,United States,MN,2023,1,0,0.0,,0.0
8117.0,Finance,United States,TX,2023,1,0,0.0,,0.0
81535497.0,Finance,United States,KS,2023,1,0,0.0,,0.0
82153.0,Finance,United States,LA,2023,1,0,0.0,,0.0
8359.0,Finance,United States,IN,2023,1,0,0.0,,0.0
8384681.0,Finance,United States,MA,2023,1,0,0.0,,0.0
86041588.0,Finance,United States,NY,2023,1,0,0.0,,0.0
86624025.0,Finance,United States,Unknown,2023,1,0,0.0,22.5,0.0
87466257.0,Finance,United States,FL,2023,1,0,0.0,,0.0
894640.0,Finance,United States,NJ,2023,1,0,0.0,150000.0,0.0
89546902.0,Finance,United States,CA,2023,1,0,0.0,115000.0,0.0
9062.0,Finance,United States,MO,2023,1,0,0.0,,0.0
90639.0,Finance,United States,NY,2023,3,0,0.0,,0.0
90869.0,Finance,United States,NE,2023,1,0,0.0,24.0,0.0
90869.0,Finance,United States,Unknown,2023,1,0,0.0,47.5,0.0
95313.0,Finance,United States,NC,2023,1,0,0.0,115000.0,0.0
96580375.0,Finance,United States,CA,2023,1,0,0.0,,0.0
96692.0,Finance,United States,IL,2023,1,0,0.0,,0.0
97191599.0,Finance,United States,Unknown,2023,1,0,0.0,,0.0
98050224.0,Finance,United States,Unknown,2023,1,0,0.0,,0.0
98815.0,Finance,United States,CA,2023,1,0,0.0,,0.0
unknown_company,Finance,United States,ID,2023,1,0,0.0,,0.0
unknown_company,Finance,United States,MO,2023,1,0,0.0,,0.0
unknown_company,Finance,United States,NJ,2023,1,0,0.0,95000.0,0.0
101076.0,Healthcare,United States,Unknown,2023,1,0,0.0,,0.0
1011049.0,Healthcare,United States,FL,2023,1,0,0.0,19.5,0.0
10151555.0,Healthcare,United States,FL,2023,1,0,0.0,,0.0
10154666.0,Healthcare,United States,Unknown,2023,1,0,0.0,,0.0
10266947.0,Healthcare,United States,KY,2023,1,0,0.0,,0.0
10279761.0,Healthcare,United States,Unknown,2023,1,0,0.0,159450.0,0.0
1028.0,Healthcare,United States,CA,2023,1,0,0.0,,0.0
10358016.0,Healthcare,United States,NJ,2023,1,0,0.0,,0.0
10420321.0,Healthcare,United States,MA,2023,1,0,0.0,100000.0,0.0
10420321.0,Healthcare,United States,NJ,2023,1,0,0.0,,0.0
10420321.0,Healthcare,United States,OH,2023,1,0,0.0,,0.0
10420321.0,Healthcare,United States,Unknown,2023,1,0,0.0,22.59,0.0
